Tanggal,OriginTime,Latitude,Longitude,Kedalaman (km),Magnitude,Type,Keterangan,Dirasakan,M,D,MD
6/6/2019,18:29:54,-8.79,112.6,30,2.9,MLv,"	Pusat gempa di laut 72 km tenggara Malang",TIDAK,M2,D1,M2D1
8/6/2019,20:50:26,-9.02,112.43,10,3,MLv,"	Pusat gempa di laut, 99 km BaratDaya KAB-MALANG-JATIM",TIDAK,M2,D1,M2D1
9/6/2019,04:51:47,-10.1,108.68,10,3.7,MLv,"	pusat gempa di laut 266 km BaratDaya CILACAP-JATENG",TIDAK,M3,D1,M3D1
9/6/2019,09:32:23,-8.42,108.9,14,5.7,M,"Pusat gempa di laut 78 km BaratDaya CILACAP-JATENG dirasakan di daerah Pangandaran, Cilacap, Ciamis, Kebumen dalam skala intensitas III MMI, Jogja II-III MMI dan Bandung dalam skala intensitas II MMI",YA,M5,D1,M5D1
9/6/2019,10:41:29,-10.3,108.64,20,3.9,MLv,"	Pusat gempa di laut 288 km BaratDaya CILACAP-JATENG",TIDAK,M3,D1,M3D1
10/6/2019,14:07:35,-8.81,112.6,30,3,MLv,"	Pusat gempa di laut 74 km Tenggara KAB-MALANG-JATIM",TIDAK,M2,D1,M2D1
10/6/2019,14:32:06,-8.67,111.38,10,2.9,MLv,"	Pusat gempa di laut 62 km Tenggara Pacitan Jatim",TIDAK,M2,D1,M2D1
11/6/2019,13:22:33,-9.15,110.91,10,3.6,MLv,"	Pusat gempa dilaut 110 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
11/6/2019,22:04:13,-7.54,111.36,145,3,M,"	Pusat gempa di darat 12 km TimurLaut MAGETAN-JATIM",TIDAK,M2,D2,M2D2
13/06/2019,11:25:48,-9.17,112.94,30,3.4,MLv,"	Pusat gempa di laut 119 km BaratDaya LUMAJANG-JATIM",TIDAK,M3,D1,M3D1
13/06/2019,22:58:08,-10.19,108.7,10,4.2,M,"	Pusat gempa di laut 275 km BaratDaya Cilacap - JATENG",TIDAK,M4,D1,M4D1
13/06/2019,23:26:01,-10.32,111.1,60,3.8,MLv,"	Pusat gempa di laut 237 km BaratDaya PACITAN-JATIM",TIDAK,M3,D2,M3D2
15/06/2019,15:19:48,-10.35,111.14,60,4.2,MLv,"	Pusat gempa di laut 241 km Tenggara Pacitan Jatim",TIDAK,M4,D2,M4D2
16/06/2019,06:57:00,-8.87,112.49,30,3.5,MLv,"	Pusat gempa di laut, 81 km BaratDaya KAB-MALANG-JATIM",TIDAK,M3,D1,M3D1
17/06/2019,11:17:48,-8.33,109.23,10,3.1,MLv,"	71 km Tenggara Cilacap - Jawa Tengah",TIDAK,M3,D1,M3D1
16/06/2019,21:52:04,-9.87,112.82,10,3.9,MLv,"	Pusat gempa dilaut 194 km Tenggara KAB-MALANG-JATIM",TIDAK,M3,D1,M3D1
18/06/2019,06:20:24,-8.91,110.99,20,3,MLv,"	Pusat gempa di laut 82 km BaratDaya PACITAN-JATIM",TIDAK,M2,D1,M2D1
18/06/2019,17:25:49,-8.84,112.26,30,3,MLv,"	Pusat gempa dilaut 78 km tenggara Blitar-Jatim",TIDAK,M2,D1,M2D1
18/06/2019,21:05:47,-9.19,110.81,10,2.9,MLv,"	Pusat gempa di laut, 117 km BaratDaya PACITAN-JATIM",TIDAK,M2,D1,M2D1
19/06/2019,03:09:26,-10.42,111.12,60,3.8,MLv,"	Pusat gempa di laut 249 km Tenggara PACITAN-JATIM",TIDAK,M3,D2,M3D2
19/06/2019,18:05:02,-9.12,113.09,12,3.4,MLv,"	Pusat gempa di laut 110 km BaratDaya LUMAJANG-JATIM",TIDAK,M3,D1,M3D1
21/06/2019,10:27:27,-8.42,108.69,29,5.1,M," Pusat gempa di laut, 82 km Tenggara KAB-PANGANDARAN-JABAR",TIDAK,M5,D1,M5D1
22/06/2019,14:50:07,-9.04,112.76,180,3,MLv,"	Pusat gempa 102 km Tenggara KAB-MALANG-JATIM",TIDAK,M2,D2,M2D2
22/06/2019,14:55:44,-10.02,110.59,8,3.7,MLv,"	Pusat gempa di laut 212 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
22/06/2019,15:21:44,-8.96,110.32,71,3.3,MLv,"	Pusat gempa di laut 112 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M3,D2,M3D2
22/06/2019,22:28:00,-8.45,111.36,119,2.9,MLv,"	Pusat gempa di laut 41 km Tenggara PACITAN-JATIM",TIDAK,M2,D2,M2D2
23/06/2019,02:15:30,-9.27,113.49,22,3.4,MLv,"	Pusat gempa dilaut 120 km BaratDaya JEMBER-JATIM",TIDAK,M3,D1,M3D1
23/06/2019,02:24:14,-9.23,113.39,10,3.1,MLv,"	Pusat gempa di laut 118 km BaratDaya JEMBER-JATIM",TIDAK,M3,D1,M3D1
23/06/2019,22:27:02,-10.7,113.49,25,4,MLv,"	Pusat gempa di laut, 278 km BaratDaya JEMBER-JATIM",TIDAK,M3,D1,M3D1
24/06/2019,15:53:26,-5.8,110.27,529,4.9,M,"	Pusat gempa dilaut 98 Km Barat Laut Jepara - Jateng",TIDAK,M4,D3,M4D3
24/06/2019,17:24:46,-8.3,108.94,39,3.5,MLv,"	Pusat gempa di laut 64 Km Barat Daya Cilacap - Jateng",TIDAK,M3,D1,M3D1
26/06/2019,08:04:01,-9.02,110.48,11,4.1,M,"	pusat gempa di laut 114 km baratdaya gunungkidul",TIDAK,M4,D1,M4D1
26/06/2019,22:10:32,-10.5,113.5,10,3.6,MLv,Pusat gempa di laut 256 km BaratDaya JEMBER-JATIM,TIDAK,M3,D1,M3D1
28/06/2019,08:20:12,-9.72,113.95,10,4,MLv,"	Pusat gempa di laut 168 km BaratDaya JEMBRANA-BALI",TIDAK,M3,D1,M3D1
28/06/2019,09:52:30,-9.67,113.8,10,3.4,MLv,"	pusat gempa di laut 164 km tenggara Jember Jatim",TIDAK,M3,D1,M3D1
29/06/2019,06:47:00,-8.49,108.83,12,5.1,MLv,"Pusat gempa di laut, 87 km BaratDaya CILACAP-JATENG",TIDAK,M5,D1,M5D1
29/06/2019,20:28:27,-9.3,110.59,10,3.2,MLv,"	Pusat gempa di laut 137 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
2/7/2019,22:30:46,-10.69,111.14,10,3.7,MLv,"	Pusat gempa dilaut 279 km Tenggara Pacitan - Jawa Timur",TIDAK,M3,D1,M3D1
3/7/2019,11:12:01,-8.51,108.93,10,2.9,MLv,"	Pusat gempa di laut 87 km BaratDaya CILACAP-JATENG",TIDAK,M2,D1,M2D1
3/7/2019,15:05:16,-8.44,110.83,10,2.5,MLv,"	Pusat gempa dilaut 42 km baratdaya Pacitan-Jatim",TIDAK,M2,D1,M2D1
3/7/2019,16:41:41,-10.24,111.82,10,3.5,MLv,"	Pusat gempa di laut 238 km baratdaya Blitar-Jatim",TIDAK,M3,D1,M3D1
3/7/2019,21:13:58,-9.65,113.86,10,3.3,MLv,"	Pusat gempa di laut 163 km tenggara Jember-Jatim",TIDAK,M3,D1,M3D1
3/7/2019,22:12:55,-9.58,113.86,10,4.2,MLv,"	Pusat gempa dilaut 155 km tenggara Jember-Jatim",TIDAK,M4,D1,M4D1
4/7/2019,00:55:21,-8.36,113.05,145,3.5,MLv,"	Pusat gempa di laut 32 km BaratDaya Lumajang-Jatim",TIDAK,M3,D2,M3D2
4/7/2019,08:14:44,-7.91,110.58,12,2.4,MLv,"	Pusat gempa di darat 9 km BL gunung kidul DIY",TIDAK,M2,D1,M2D1
4/7/2019,22:57:01,-8.77,110.44,22,3.4,MLv,"	Pusat gempa di laut 88 Km Barat Daya Gunung Kidul - DIY",TIDAK,M3,D1,M3D1
5/7/2019,06:57:36,-8.98,110.25,10,3.7,MLv,"	Pusat gempa dilaut 116 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M3,D1,M3D1
6/7/2019,05:30:35,-9.42,113.98,12,4.5,MLv,"	Pusat gempa di dlaut 137 km BaratDaya JEMBRANA-BAL",TIDAK,M4,D1,M4D1
6/7/2019,06:27:23,-9.13,110.5,10,3.6,MLv,"	Pusat gempa dilaut 125 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
6/7/2019,06:33:40,-9.05,110.39,18,3.1,MLv,"	Pusat gempa dilaut 119 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M3,D1,M3D1
6/7/2019,17:18:49,-8.69,110.02,11,3.2,MLv,"	pusat gempa di laut 95 km BaratDaya BANTUL-DIY",TIDAK,M3,D1,M3D1
6/7/2019,08:53:35,-10.77,113.54,10,4.5,MLv,"	Pusat gempa di laut, 286 km BaratDaya JEMBER-JATIM",TIDAK,M4,D1,M4D1
6/7/2019,10:39:16,-8.86,110.41,10,2.8,MLv,"	Pusat gempa di laut 98 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M2,D1,M2D1
7/7/2019,04:45:55,-7.46,113.17,6,3.2,MLv,"	Pusat gempa di laut 33 km BaratDaya SAMPANG-JATIM",TIDAK,M3,D1,M3D1
7/7/2019,12:29:30,-9.03,110.67,21,3.4,MLv,"	Pusat gempa di laut 106 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
8/7/2019,08:12:02,-8.59,110.52,10,3.1,MLv,"	Pusat gempa di laut 67 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M3,D1,M3D1
9/7/2019,04:08:33,-8.95,112.31,10,3.4,MLv,Pusat gempa di laut 91 km Tenggara KAB-BLITAR-JATIM,TIDAK,M3,D1,M3D1
10/7/2019,13:32:04,-8.95,111.02,10,3,MLv,"Pusat gempa di laut, 86 km BaratDaya PACITAN-JATIM",TIDAK,M2,D1,M2D1
10/7/2019,14:25:41,-8.33,111.49,10,3.1,MLv,"Pusat gempa di laut, 36 km BaratDaya TRENGGALEK-JATIM",TIDAK,M3,D1,M3D1
15/07/2019,00:47:46,-8.67,110.64,9,2.7,MLv,"	Pusat gempa di laut 75 km BaratDaya PACITAN-JATIM",TIDAK,M2,D1,M2D1
16/07/2019,13:50:42,-8.68,110.35,10,2.8,MLv,"	Pusat gempa dilaut 81 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M2,D1,M2D1
17/07/2019,15:40:40,-8.74,110.9,18,3,MLv,"	Pusat gempa di laut 66 km BaratDaya PACITAN-JATIM",TIDAK,M2,D1,M2D1
18/07/2019,02:16:27,-8.76,110.45,12,3,MLv,"Pusat gempa di laut, 86 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M2,D1,M2D1
22/07/2019,05:45:49,-8.91,110.55,20,3.4,MLv,"	Pusat gempa di laut 177 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
23/07/2019,04:47:24,-9.13,113.18,25,3.6,MLv,"	Pusat gempa dilaut 102km baratdaya Gunungkidul-DIY",TIDAK,M3,D1,M3D1
23/07/2019,19:11:04,-9.13,110.36,10,3.2,MLv,"Pusat gempa di laut, 110 km BaratDaya LUMAJANG-JATIM",TIDAK,M3,D1,M3D1
23/07/2019,22:01:57,-9.11,112.87,30,3.4,MLv,"	Pusat gempa di laut, 129 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M3,D1,M3D1
26/07/2019,07:28:13,-8.83,112.8,30,3.1,MLv,"	Pusat gempa di laut 113 km tenggara Malang-Jatim",TIDAK,M3,D1,M3D1
26/07/2019,20:35:14,-10.34,112.83,10,3.7,MLv,"	Pusat gempa di laut 81 km Tenggara KAB-MALANG-JATIM",TIDAK,M3,D1,M3D1
28/07/2019,00:02:29,-8.93,111.9,10,4.5,MLv,"	Pusat gempa di laut 246 km Tenggara KAB-MALANG-JATIM",TIDAK,M4,D1,M4D1
28/07/2019,09:23:13,-8.94,109,10,3.1,MLv,"	Pusat gempa di laut 95 km BaratDaya KAB-BLITAR-JATIM, dirasakan di Blitar, Tulungagung dan Trenggalek II MMI",YA,M3,D1,M3D1
28/07/2019,10:46:09,-9.23,113.32,10,3.5,MLv,"	Pusat gempa di laut 134 km Baratdaya Cilacap Jateng",TIDAK,M3,D1,M3D1
28/07/2019,11:06:25,-10.3,108.71,30,3.7,MLv,"	Pusat gempa di laut 120 km BaratDaya JEMBER-JATIM",TIDAK,M3,D1,M3D1
29/07/2019,04:53:12,-11.3,112.32,10,4.2,MLv,"	Pusat gempa di laut 287 km BaratDaya CILACAP-JATENG",TIDAK,M4,D1,M4D1
29/07/2019,22:51:05,-8.85,111,12,2.9,MLv,"	352 km BaratDaya Malang - Jawa Timur",TIDAK,M2,D1,M2D1
30/07/2019,03:00:03,-10.27,112.93,10,3.9,M,"	Pusat gempa di laut 75 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
31/07/2019,11:32:56,-8.33,108.75,70,2.7,MLv,"	239 KM BaratDaya lumajang - Jawa Timur",TIDAK,M2,D2,M2D2
31/07/2019,12:33:48,-9.23,108.82,10,3.5,MLv,"	Pusat gempa di laut 168 km BaratDaya CILACAP-JATENG",TIDAK,M3,D1,M3D1
31/07/2019,16:46:11,-9.44,109.69,10,3.7,MLv,"	Pusat gempa dilaut 186 km BaratDaya BANTUL-DIY",TIDAK,M3,D1,M3D1
19/07/2019,11:24:19,-9.74,110.77,10,3.5,MLv,"	Pusat gempa di laut 177 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
1/8/2019,03:32:04,-8.5,108.87,22,3.1,MLv,"	Pusat gempa di laut, 87 km BaratDaya CILACAP-JATENG",TIDAK,M3,D1,M3D1
1/8/2019,04:30:59,-8.93,110.23,10,3.2,MLv,"	Pusat gempa di laut 112 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M3,D1,M3D1
2/8/2019,22:56:31,-7.68,111.6,5,2.8,MLv,"	Pusat gempa di darat 8 km BaratDaya KAB-MADIUN-JATIM",TIDAK,M2,D1,M2D1
2/8/2019,22:58:10,-7.64,111.56,10,3,MLv,"	Pusat gempa didarat 4 km baratdaya MADIUN-JATIM",TIDAK,M2,D1,M2D1
2/8/2019,23:06:51,-7.68,111.61,11,2.8,MLv,"	Pusat gempa didarat 7 km baratdaya MADIUN-JATIM",TIDAK,M2,D1,M2D1
2/8/2019,23:13:43,-7.61,111.61,10,2.8,MLv,"	Pusat gempa didarat 2 km baratdaya MADIUN-JATIM",TIDAK,M2,D1,M2D1
2/8/2019,23:27:18,-7.63,111.56,7,2.7,MLv,"	Pusat gempa didarat 2 km baratdaya MADIUN-JATIM",TIDAK,M2,D1,M2D1
2/8/2019,23:57:25,-7.81,112.06,34,2.6,MLv,Pusat gempa di darat 6 km TimurLaut KOTA-KEDIRI-JATIM,TIDAK,M2,D1,M2D1
3/8/2019,00:08:08,-7.56,111.82,30,2.5,MLv,"	pusat gempa di darat 10 km Baratlaut NGANJUK- JATIM",TIDAK,M2,D1,M2D1
3/8/2019,00:12:57,-7.69,111.58,8,2.9,MLv,Pusat gempa di darat 8 km Tenggara KOTA-MADIUN-JATIM,TIDAK,M2,D1,M2D1
3/8/2019,00:19:05,-7.54,111.74,36,2.5,M,Pusat gempa di darat 15 km TimurLaut KAB. MADIUN JATIM,TIDAK,M2,D1,M2D1
3/8/2019,00:27:22,-7.72,111.45,9,2.7,MLv,Pusat gempa di darat 13 km BaratDaya KOTA-MADIUN-JATIM,TIDAK,M2,D1,M2D1
3/8/2019,00:33:37,-7.7,111.64,17,2.9,MLv,Pusat gempa di darat 10 km Tenggara KAB-MADIUN-JATIM,TIDAK,M2,D1,M2D1
3/8/2019,00:50:05,-7.73,111.6,23,2.7,MLv,"	Pusat gempa di darat 13 km Barat daya KAB.MADIUN JATIM",TIDAK,M2,D1,M2D1
3/8/2019,00:54:28,-7.81,111.4,12,2.1,M, Pusat gempa di darat 25 km Barat daya KAB. MADIUN JATIM,TIDAK,M2,D1,M2D1
3/8/2019,00:57:46,-7.52,111.68,17,2.8,MLv,"	Pusat gempa di darat 12 km TimurLaut KAB-MADIUN-JATIM",TIDAK,M2,D1,M2D1
3/8/2019,01:39:48,-7.68,111.6,9,3,MLv,Pusat gempa di darat 8 km BaratDaya KAB-MADIUN-JATIM,TIDAK,M2,D1,M2D1
3/8/2019,01:55:19,-10,109.37,30,4.2,MLv,"	Pusat gempa di laut 255 km Tenggara CILACAP JATENG",TIDAK,M4,D1,M4D1
3/8/2019,02:42:13,-7.69,111.6,16,3.4,MLv,Pusat gempa di darat 9 KM BaratDaya KAB. MADIUN JATIM dirasakan di MADIUN II MMI,YA,M3,D1,M3D1
3/8/2019,02:57:47,-7.68,111.61,12,3.1,MLv,Pusat gempa di darat 7 km BaratDaya KAB-MADIUN-JATIM,TIDAK,M3,D1,M3D1
3/8/2019,03:07:36,-7.44,111.9,27,2.9,M,"	Pusat gempa didarat 45 km TimuLaut KAB, MADIUN JATIM",TIDAK,M2,D1,M2D1
3/8/2019,05:40:06,-8.72,110.51,10,3,MLv,Pusat gempa dilaut 81 km BaratDaya GUNUNGKIDUL-DIY,TIDAK,M2,D1,M2D1
3/8/2019,12:57:20,-8.69,110.94,15,2.8,MLv,"	Pusat gempa di laut 59 km BaratDaya PACITAN-JATIM",TIDAK,M2,D1,M2D1
3/8/2019,14:45:48,-8.81,112.52,10,3,MLv,"	Pusat gempa di laut 74 km BaratDaya KAB-MALANG-JATIM",TIDAK,M2,D1,M2D1
4/8/2019,00:41:58,-8.53,109.07,93,3.8,M,"	Pusat gempa dilaut 89 km Tenggara CILACAP-JATENG",TIDAK,M3,D2,M3D2
4/8/2019,07:04:30,-9.38,112.67,30,3.4,MLv,Pusat gempa dilaut 138 km Tenggara MALANG-JATIM,TIDAK,M3,D1,M3D1
6/8/2019,02:56:13,-8.88,111.76,27,3.6,MLv,"	Pusat gempa dilaut 88 km tenggara TRENGGALEK-JATIM",TIDAK,M3,D1,M3D1
6/8/2019,19:42:47,-10.68,113.67,15,4.5,MLv,"	Pusat gempa dilaut 271 km BaratDaya NUSADUA-BALI",TIDAK,M4,D1,M4D1
7/8/2019,04:39:26,-9.15,113.62,10,2.3,MLv,"	Pusat gempa di laut 106 km BaratDaya JEMBER-JATIM",TIDAK,M2,D1,M2D1
8/8/2019,04:36:04,-10.16,111.3,20,3.9,MLv,"Pusat gempa di laut, 221 km Tenggara PACITAN-JATIM",TIDAK,M3,D1,M3D1
8/8/2019,11:48:31,-7.62,111.55,10,2.8,MLv,"	Pusat gempa di darat 2 km TimurLaut KOTA-MADIUN-JATIM",TIDAK,M2,D1,M2D1
10/8/2019,00:20:59,-8.92,110.62,10,3.1,MLv,"	Pusat gempa di laut 98 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
10/8/2019,13:26:43,-8.72,110.07,25,4.9,MLv,"	Pusat gempa di laut 96 km BaratDaya BANTUL",TIDAK,M4,D1,M4D1
10/8/2019,21:59:11,-8.66,108.59,10,3.9,MLv,"	Pusat gempa di laut 106 km Tenggara KAB-PANGANDARAN-JABAR",TIDAK,M3,D1,M3D1
11/8/2019,02:18:47,-8.47,109.77,30,3.5,MLv,"	Pusat gempa di laut 84 km BaratDaya KULONPROGO-DIY",TIDAK,M3,D1,M3D1
11/8/2019,09:18:29,-8.74,109.8,30,2.7,MLv,"	Pusat gempa di laut 110 km BaratDaya KULONPROGO-DIY",TIDAK,M2,D1,M2D1
11/8/2019,22:55:38,-9.63,113.89,10,4.4,MLv,"Pusat gempa di laut 	161 km Tenggara JEMBER - JATIM",TIDAK,M4,D1,M4D1
11/8/2019,23:01:49,-9.48,113.86,10,3.4,MLv,"Pusat gempa di laut 	144 km Tenggara JEMBER - JATIM",TIDAK,M3,D1,M3D1
11/8/2019,23:07:15,-9.6,113.77,10,2.9,MLv,"Pusat gempa di laut 	156 km Tenggara JEMBER - JATIM",TIDAK,M2,D1,M2D1
11/8/2019,23:35:38,-9.63,113.74,10,3.1,MLv,Pusat gempa di laut  159 km Tenggara JEMBER - JATIM,TIDAK,M3,D1,M3D1
11/8/2019,23:45:48,-9.56,113.89,20,3,MLv,"	Pusat gempa di laut 154 km Tenggara JEMBER-JATIM",TIDAK,M2,D1,M2D1
11/8/2019,23:53:11,-9.55,113.82,10,2.8,MLv,"	Pusat gempa di laut 151 km Tenggara JEMBER-JATIM",TIDAK,M2,D1,M2D1
12/8/2019,00:01:23,-9.64,113.74,10,3,MLv,"	Pusat gempa di laut 160 km Tenggara JEMBER-JATIM",TIDAK,M2,D1,M2D1
12/8/2019,00:25:35,-7.97,110.5,10,3,MLv, Pusat gempa didarat 12 km BaratLaut GUNUNGKIDUL-DIY dirasakan di BANTUL II MMI,YA,M2,D1,M2D1
12/8/2019,03:55:17,-9.57,113.81,12,2.9,MLv,Pusat gempa di laut 153 Km Tenggara JEMBER-JATIM,TIDAK,M2,D1,M2D1
12/8/2019,07:43:19,-9.65,113.94,10,4.5,MLv,"	Pusat gempa di laut 161 km barat daya JEMBRANA-BALI",TIDAK,M4,D1,M4D1
12/8/2019,13:11:26,-8.64,111.54,20,3.1,MLv,"	Pusat gempa di laut 64 km BaratDaya TRENGGALEK-JATIM",TIDAK,M3,D1,M3D1
13/08/2019,07:21:20,-9.58,113.96,10,2.9,MLv,"	Pusat gempa di laut 154 km BaratDaya JEMBRANA-BALI",TIDAK,M2,D1,M2D1
13/08/2019,11:48:51,-9.52,113.88,10,2.9,MLv,"	Pusat gempa di Laut 149 km Tenggara JEMBER-JATIM",TIDAK,M2,D1,M2D1
13/08/2019,13:27:24,-9.12,113.83,10,3.3,MLv,"	Pusat gempa di laut 104 km Tenggara JEMBER-JATIM",TIDAK,M3,D1,M3D1
13/08/2019,13:40:11,-9.56,113.96,10,5.1,M,"	Pusat gempa di laut 152 km BaratDaya JEMBRANA-BALI dirasakan di BANYUWANGI dan JEMBRANA II MMI",YA,M5,D1,M5D1
13/08/2019,14:52:29,-9.6,113.87,10,3.6,MLv,"	Pusat gempa di laut 158 km Tenggara JEMBER-JATIM",TIDAK,M3,D1,M3D1
13/08/2019,15:35:25,-9.57,113.87,10,3.1,MLv,"	Pusat gempa di laut 154 km Tenggara JEMBER-JATIM",TIDAK,M3,D1,M3D1
13/08/2019,15:45:02,-8.69,110.39,22,3.4,MLv,"	Pusat gempa di laut 81 km BaratDaya GUNUNGKIDUL-DIY",TIDAK,M3,D1,M3D1
13/08/2019,20:27:12,-8.29,111.79,10,3.5,MLv,"	Pusat gempa di laut 24 km Tenggara TRENGGALEK-JATIM",TIDAK,M3,D1,M3D1
13/08/2019,22:05:47,-9.48,113.86,12,3.1,MLv,"	Pusat gempa di laut 144 km Tenggara JEMBER-JATIM",TIDAK,M3,D1,M3D1
14/08/2019,05:26:23,-9.6,113.8,10,3.1,MLv,"	Pusat gempa dilaut 157 km Tenggara JEMBER-JATIM",TIDAK,M3,D1,M3D1
14/08/2019,10:19:27,-9.5,113.92,30,3.8,MLv,"	Pusat gempa di laut 148 km BaratDaya JEMBRANA-BALI",TIDAK,M3,D1,M3D1
15/08/2019,08:05:25,-9.06,111.37,10,3.6,M,"	Pusat gempa di laut 102 km Tenggara PACITAN-JATIM",TIDAK,M3,D1,M3D1
17/08/2019,00:57:57,-8.84,110.39,9,3.2,MLv,Pusat gempa di laut 97 Km Barat Daya GUNUNGKIDUL - DIY,TIDAK,M3,D1,M3D1
17/08/2019,00:27:19,-7.81,110.48,10,2.1,MLv,"	Pusat gempa di darat, 15 km Tenggara SLEMAN-DIY",TIDAK,M2,D1,M2D1
17/08/2019,17:23:36,-7.36,108.89,220,4.1,MLv,"	Pusat gempa didarat 38 km baratlaut BANYUMAS-JATENG",TIDAK,M4,D2,M4D2
19/08/2019,05:56:17,-8.96,111.91,35,3.4,MLv,"	Pusat gempa di laut 97 km BaratDaya KAB-BLITAR-JATIM",TIDAK,M3,D1,M3D1
21/08/2019,12:27:04,-9.04,113.07,96,3.1,MLv,"	Pusat gempa di laut 102 km BaratDaya LUMAJANG-JATIM",TIDAK,M3,D2,M3D2
21/08/2019,23:09:28,-8.92,111.2,68,2.8,MLv,"	Pusat gempa dilaut 82 km Tenggara PACITAN-JATIM",TIDAK,M2,D2,M2D2
23/08/2019,10:57:10,-8.41,108.99,29,3.2,MLv,"	Pusat gempa di laut 76 km BaratDaya CILACAP-JATENG",TIDAK,M3,D1,M3D1
23/08/2019,14:58:18,-9,111.1,12,3.1,MLv,"	Pusat gempa di laut 91 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
23/08/2019,22:42:56,-8.58,110.72,10,2.9,MLv,Pusat gempa di laut 61 Km Barat Daya PACITAN - JATIM,TIDAK,M2,D1,M2D1
24/08/2019,12:45:49,-8.83,112.49,10,4.3,MLv,"Pusat gempa di laut, 77 km BaratDaya KAB-MALANG-JATIM, dirasakan di MALANG, BLITAR, TRENGGALEK, TULUNGAGUNG II-III MMI",YA,M4,D1,M4D1
24/08/2019,22:52:02,-8.26,108.88,19,2.8,MLv,"Pusat gempa di laut, 60 km BaratDaya CILACAP-JATENG",TIDAK,M2,D1,M2D1
25/08/2019,00:27:43,-8.39,110.93,10,2.6,MLv,"	Pusat gempa di laut 30 km BaratDaya PACITAN-JATIM",TIDAK,M2,D1,M2D1
25/08/2019,06:03:53,-9.37,110.65,10,3.3,MLv,"	Pusat gempa dilaut 141 km baratdaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
25/08/2019,14:30:44,-8.69,108.62,29,3.8,MLv,"	pusat gempa di laut 110 km Tenggara Kab PANGANDARAN",TIDAK,M3,D1,M3D1
25/08/2019,17:13:57,-9.07,113.16,16,3,MLv,"	Pusat gempa dilaut 104 km Barat daya LUMAJANG JATIM",TIDAK,M2,D1,M2D1
25/08/2019,12:48:45,-8.3,108.87,49,4.7,MLv,Pusat gempa dilaut 65 km BaratDaya CILACAP-JATENG,TIDAK,M4,D1,M4D1
27/08/2019,07:57:50,-8.4,109.06,24,3.2,MLv,"Pusat gempa di laut, 75 km Tenggara CILACAP-JATENG",TIDAK,M3,D1,M3D1
27/08/2019,09:32:26,-8.86,111.4,11,3.1,MLv,"	Pusat gempa di laut, 82 km Tenggara PACITAN JATIM",TIDAK,M3,D1,M3D1
27/08/2019,14:05:21,-9.31,113.93,10,3.8,MLv,"	Pusat gempa dilaut 128 km Tenggara JEMBER-JATIM",TIDAK,M3,D1,M3D1
28/08/2019,15:26:48,-8.56,108.94,53,4.1,MLv,"	Pusat gempa di laut 92 km BaratDaya CILACAP-JATENG",TIDAK,M4,D1,M4D1
29/08/2019,09:28:08,-8.24,109.22,36,2.7,MLv,"	Pusat gempa di laut 61 km Tenggara CILACAP-JATENG",TIDAK,M2,D1,M2D1
1/9/2019,04:43:33,-8.71,111.01,10,2.8,MLv,"	Pusat gempa di laut 97 km BaratDaya BANTUL-DIY",TIDAK,M2,D1,M2D1
1/9/2019,10:03:30,-8.61,111.59,10,2.8,MLv,"	Pusat gempa di laut 59 km Baratdaya Trenggalek Jatim",TIDAK,M2,D1,M2D1
2/9/2019,07:01:54,-9.25,112.13,10,3.3,MLv,"	Pusat gempa dilaut 124 km BaratDaya KAB-BLITAR-JATIM",TIDAK,M3,D1,M3D1
2/9/2019,09:49:58,-8.55,110.81,10,3.1,MLv,"	Pusat gempa dilaut 52 km BaratDaya PACITAN-JATIM",TIDAK,M3,D1,M3D1
2/9/2019,12:59:33,-9.37,114,10,3.3,MLv,"	Pusat gempa di laut 131 km BaratDaya JEMBRANA-BALI",TIDAK,M3,D1,M3D1
3/9/2019,22:48:50,-7.84,112.12,22,2.7,MLv,"	Pusat gempa di darat 8 km Barat daya Kab. Kediri Jatim",TIDAK,M2,D1,M2D1
4/9/2019,08:36:31,-8.06,111.93,143,3.7,MLv,"Pusat gempa di laut, 3 km TimurLaut TULUNGAGUNG-JATIM",TIDAK,M3,D2,M3D2
