Tanggal,OriginTime,Latitude,Longitude,Kedalaman (km),Magnitude,Type,Keterangan,Dirasakan,M,D,MD,No
6/14/2018,14:06:41,-5.9,115.1253303,62,0,,,,,,,524
6/15/2018,15:06:41,-2.6,118.9451685,62,0,,,,,,,525
6/16/2018,09:27:25,-7.82,112.54,4,2.8,MLv,"Pusat gempa di darat, 7 km TimurLaut BATU-JATIM",TIDAK,M2,D1,M2D1,526
6/17/2018,01:27:46,-0.6,107.6901741,,3,MLv,"
	Pusat gempa di laut 89 km Barat daya Kulon Progo DIY
",TIDAK,M2,D1,M2D1,527
6/18/2018,14:29:54,-7.3,119.6575436,62,3,MLv,"
	Pusat gempa di laut 61 km Tenggara PACITAN-JATIM
",TIDAK,M2,D1,M2D1,528
6/19/2018,02:12:15,-8.92,110.24,10,4.1,MLv,"
	Pusat gempa di laut 107 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M4,D1,M4D1,529
6/20/2018,23:14:24,-8.97,110.73,10,3.1,MLv,"
	Pusat gempa di laut 97 Km Barat Daya Pacitan - Jawa Timur
",TIDAK,M3,D1,M3D1,530
6/21/2018,12:57:32,-8.64,113.24,10,3.4,MLv,"
	Pusat gempa di laut 61 km Tenggara LUMAJANG-JATIM
",TIDAK,M3,D1,M3D1,531
6/22/2018,13:57:32,-7.3,107.335292,62,0,,,,,,,532
6/23/2018,10:28:06,-8.42,111.64,99,3.4,MLv,"
	Pusat gempa di laut 37 km BaratDaya TRENGGALEK-JATIM
",TIDAK,M3,D2,M3D2,533
6/24/2018,17:28:41,-7.28,109.78,335,3.8,MLv,"
	Pusat gempa di darat 7 km TimurLaut BANJARNEGARA-JATENG
",TIDAK,M3,D3,M3D3,534
6/25/2018,09:54:26,-9.51,113.95,163,4.2,MLv,"
	Pusat gempa di laut 147 km BaratDaya JEMBRANA-BALI
",TIDAK,M4,D2,M4D2,535
6/26/2018,16:34:44,-8.55,109.14,6,3.2,MLv,"
	Pusat gempa di laut 95 km Tenggara Cilacap - Jawa Tengah
",TIDAK,M3,D1,M3D1,536
6/27/2018,03:48:27,-8.87,112.11,27,4.2,MLv,"
	Pusat gempa di laut 82 km Barat daya Kab Blitar Jatim
",TIDAK,M4,D1,M4D1,537
6/28/2018,12:10:14,-8.56,110.53,23,2.9,MLv,"
	Pusat gempa di laut 59 km barat daya Gunung kidul DIY
",TIDAK,M2,D1,M2D1,538
6/29/2018,07:31:37,-8.37,108.73,40,3.6,MLv,"
	Pusat gempa di laut 76 km Tenggara KAB-PANGANDARAN-JABAR
",TIDAK,M3,D1,M3D1,539
6/30/2018,18:14:58,-8.93,111.3,10,2.8,M,"
	86 km Tenggara PACITAN-JATIM
",TIDAK,M2,D1,M2D1,540
7/1/2018,19:05:56,-8.65,108.91,20,3.3,MLv,"
	Pusat gempa di laut 106 km BaratDaya Cilacap - Jateng
",TIDAK,M3,D1,M3D1,541
7/2/2018,23:44:18,-7.54,111.53,10,2.2,MLv,"
	Pusat gempa di laut 10 km Utara KOTA-MADIUN-JATIM
",TIDAK,M2,D1,M2D1,542
7/3/2018,02:16:27,-8.15,108.62,72,3.7,MLv,"
	Pusat gempa d laut 51 km Barat daya Kab Pangandaran Jabar
",TIDAK,M3,D2,M3D2,543
7/4/2018,16:23:50,-8.67,110.2,50,2.9,MLv,"
	Pusat gempa di laut 84 km barat daya Gunungkidul DIY
",TIDAK,M2,D1,M2D1,544
7/5/2018,00:26:48,-8.77,112.52,112,4,MLv,"
	Pusat gempa di laut 62 km BaratDaya KAB-MALANG-JATIM
",TIDAK,M3,D2,M3D2,545
7/6/2018,01:26:48,-4.4,118.3923389,70,0,,,,,,,546
7/6/2018,18:01:30,-9.27,112.72,10,3.2,MLv,"
	di laut 114 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,547
7/7/2018,19:57:35,-9.75,112.96,14,4.3,MLv,"
	Pusat gempa di laut 169 km Tenggara KAB-MALANG-JATIM
",TIDAK,M4,D1,M4D1,548
7/8/2018,05:53:17,-8.97,110.56,10,4,MLv,"
	Pusat gempa di laut 104 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,549
7/9/2018,06:10:27,-8.86,112.36,77,3.6,MLv,"
	Info Gempa Mag:3.6 SR, 09-Jul-18 13:10:27 WIB, Lok:8.86 LS,112.36 BT (79 km BaratDaya KAB-MALANG-JATIM), Kedlmn:77 Km ::BMKG-PGR VII
",TIDAK,M3,D2,M3D2,550
7/10/2018,07:10:27,0.4,118.2597346,72,0,,,,,,,551
7/11/2018,08:10:27,-5.5,111.1711528,72,0,,,,,,,552
7/12/2018,23:43:51,-9.27,112.85,8,3.5,MLv,"
	Pusat gempa di laut 115km Tenggara Malang - Jatim
",TIDAK,M3,D1,M3D1,553
7/13/2018,00:19:42,-8.63,111.37,37,3.4,MLv,"
	Pusat gempa di laut 58 km Tenggara PACITAN-JATIM
",TIDAK,M3,D1,M3D1,554
7/14/2018,01:19:42,-0.6,108.836104,72,0,,,,,,,555
7/15/2018,12:29:28,-9.28,110.48,10,4,MLv,"
	Pusat gempa di laut 139 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,556
7/16/2018,03:32:10,-8.78,110.9,25,3,MLv,"
	Pusat gempa di laut 70 km BaratDaya PACITAN-JATIM
",TIDAK,M2,D1,M2D1,557
7/17/2018,22:02:21,-8.84,111.26,30,3.1,MLv,"
	Pusat gempa dilaut 75 km tenggara Pacitan-Jatim
",TIDAK,M3,D1,M3D1,558
7/18/2018,12:41:19,-7.86,111.07,24,2.6,MLv,"
	Pusat gempa didarat 3 km TimurLuat WONOGIRI-JATENG
",TIDAK,M2,D1,M2D1,559
7/19/2018,06:37:57,-9.03,111.12,10,4.4,MLv,"
	Pusat gempa di laut 94 km Tenggara PACITAN-JATIM
",TIDAK,M4,D1,M4D1,560
7/20/2018,00:26:24,-9.23,112.87,10,3.9,MLv,"
	Pusat gempa di laut 111 Km Tenggara Kab Malang-Jawa Timur
",TIDAK,M3,D1,M3D1,561
7/21/2018,04:35:11,-9.49,112.76,30,4.2,MLv,"
	Pusat gempa di laut 138 km Tenggara KAB-MALANG-JATIM
",TIDAK,M4,D1,M4D1,562
7/22/2018,08:14:50,-8.92,110.47,10,2.9,MLv,"
	Pusat gempa di laut 100 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M2,D1,M2D1,563
7/23/2018,06:00:48,-9.7,111.02,10,3.6,MLv,"
	Pusat gempa di laut 169 km BaratDaya PACITAN-JATIM
",TIDAK,M3,D1,M3D1,564
7/24/2018,17:01:13,-8.26,110.63,112,3.4,MLv,"
	Pusat gempa berada di laut 25 km Tenggara GUNUNGKIDUL-DIY
",TIDAK,M3,D2,M3D2,565
7/25/2018,04:00:03,-9.97,111.16,10,4.2,MLv,"
	Pusat gempa di laut 199 Km Tenggara Pacitan - jawa Timur
",TIDAK,M4,D1,M4D1,566
7/26/2018,23:38:54,-8.18,108.69,60,3.1,MLv,"
	Pusat gempa di laut 55 km Tenggara KAB-PANGADARAN-JABAR
",TIDAK,M3,D2,M3D2,567
7/27/2018,00:38:54,-3.2,119.0187766,72,0,,,,,,,568
7/28/2018,00:12:18,-9.72,112.85,10,5,MLv,"
	Pusat gempa di laut 164 km Tenggara KAB-MALANG-JATIM
",TIDAK,M4,D1,M4D1,569
7/29/2018,13:44:24,-8.35,108.97,20,3.1,MLv,"
	Pusat gempa di laut 72 km Barat daya Cilacap Jateng
",TIDAK,M3,D1,M3D1,570
7/30/2018,14:44:24,-7.9,119.1303608,72,0,,,,,,,571
7/31/2018,04:05:55,-9.42,112.81,30,3.5,MLv,"
	Pusat gempa di laut 131 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,572
8/1/2018,20:39:14,-9.61,112.71,10,4.1,MLv,"
	Pusat gempa di laut 152 km BaratDaya KAB-MALANG-JATIM
",TIDAK,M4,D1,M4D1,573
8/2/2018,21:39:14,-6.0,112.168117,80,0,,,,,,,574
8/3/2018,11:52:57,-9.13,110.52,18,3.7,MLv,"
	Pusat gempa dilaut 122 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,575
8/4/2018,12:52:57,-5.5,106.5297957,80,0,,,,,,,576
8/5/2018,09:24:30,-9.8,112.88,30,3.7,MLv,"
	Pusat gempa di laut 174 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,577
8/6/2018,10:00:48,-8.79,110.79,52,3.5,MLv,"
	Pusat gempa di laut 76 km BaratDaya PACITAN-JATIM
",TIDAK,M3,D1,M3D1,578
8/7/2018,21:54:39,-9.34,110.33,45,3.6,MLv,"
	Pusat ghempa di laut 148 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,579
8/8/2018,03:06:04,-9.38,110.33,10,4,MLv,"
	Pusat gempa di laut 153 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,580
8/9/2018,03:23:21,-8.8,110.8,70,2.8,MLv,"
	Pusat gempa dilaut 76 km BaratDaya Pacitan - Jawa Timur
",TIDAK,M2,D2,M2D2,581
8/10/2018,08:02:39,-8.82,112.49,46,4.4,MLv,"
	Pusat gempa di laut 68 km BaratDaya Malang - Jawa Timur
",TIDAK,M4,D1,M4D1,582
8/11/2018,13:13:43,-8.64,111.18,16,3.3,MLv,"
	Pusat gempa di laut 51 km Tenggara PACITAN-JATIM
",TIDAK,M3,D1,M3D1,583
8/12/2018,07:01:57,-8.84,113.04,15,3.7,MLv,"
	di laut 75 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,584
8/13/2018,10:37:31,-8.33,108.96,20,4.4,MLv,"
	Pusat gempa di laut, 70 km BaratDaya CILACAP-JATENG
",TIDAK,M4,D1,M4D1,585
8/14/2018,12:43:39,-9.13,111.36,16,3.4,MLv,"
	Pusat gempa di laut 109 km Tenggara PACITAN-JATIM
",TIDAK,M3,D1,M3D1,586
8/15/2018,13:43:39,-0.7,115.4197525,82,0,,,,,,,587
8/16/2018,00:36:00,-9.53,112.8,19,3.7,MLv,"
	Pusat gempa di laut 143 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,588
8/17/2018,01:36:00,-2.1,114.6056486,82,0,,,,,,,589
8/18/2018,02:36:00,-5.4,115.2305471,82,0,,,,,,,590
8/19/2018,03:36:00,-1.4,110.7698264,82,0,,,,,,,591
8/20/2018,04:36:00,-1.0,108.1971805,82,0,,,,,,,592
8/21/2018,05:36:00,0.0,112.8522327,82,0,,,,,,,593
8/22/2018,00:46:19,-9.56,112.81,10,3.9,MLv,"
	Pusat gempa di laut 146 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,594
8/23/2018,19:20:30,-8.12,111.78,7,3,MLv,"
	Pusat gempa di darat, 8 km Tenggara TRENGGALEK-JATIM
",TIDAK,M2,D1,M2D1,595
8/24/2018,21:23:44,-9.03,110.11,16,3.9,MLv,"
	Pusat gempa di laut 124 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,596
8/25/2018,16:37:32,-10.89,111.88,14,4.8,M,"
	Pusat gempa dilaut 308 km BaratDaya Blitar - Jatim
",TIDAK,M4,D1,M4D1,597
8/26/2018,17:37:32,-3.0,115.6931923,82,0,,,,,,,598
8/27/2018,18:37:32,0.2,111.0646432,82,0,,,,,,,599
8/28/2018,03:56:26,-8.14,109.89,10,2.8,MLv,"
	Pusat gempa di laut 46 km BaratDaya KULONPROGO-DIY
",TIDAK,M2,D1,M2D1,600
8/29/2018,03:50:18,-8.9,110.25,10,3.7,MLv,"
	Pusat gempa dilaut104 km BaratDaya Gunungkidul - DI Yogyakarta
",TIDAK,M3,D1,M3D1,601
8/31/2018,00:51:36,-8.3,110.58,114,2.9,MLv,"
	Pusat gempa di laut 30 km BaratDaya GunungKidul-DIY
",TIDAK,M2,D2,M2D2,602
9/1/2018,01:51:36,-1.2,111.3496874,90,0,,,,,,,603
9/2/2018,02:51:36,-6.6,110.1552142,90,0,,,,,,,604
9/3/2018,01:56:43,-8.16,112.86,128,3.4,MLv,"
	Pusat gempa di darat 18 km TimurLaut KAb-MALANG-JATIM
",TIDAK,M3,D2,M3D2,605
9/4/2018,02:56:43,-4.0,107.0631627,90,0,,,,,,,606
9/5/2018,03:52:24,-8.88,111.69,30,3.9,M,"
	Pusat gempa di laut, 88 km BaratDaya TRENGGALEK-JATIM
",TIDAK,M3,D1,M3D1,607
9/6/2018,23:57:39,-8.96,112.41,30,3.1,MLv,"
	Pusat gempa dilaut 86 km BaratDaya KAB-MALANG-JATIM
	&nbsp;
",TIDAK,M3,D1,M3D1,608
9/7/2018,01:59:18,-8.61,109.37,28,3.3,MLv,"
	Pusat gempa di laut 108 km Tenggara CILACAP-JATENG
",TIDAK,M3,D1,M3D1,609
9/8/2018,02:59:18,-1.5,109.6345225,90,0,,,,,,,610
9/9/2018,07:40:56,-8.5,111.98,90,4.1,MLv,"
	Pusat gempa di laut 45 km Tenggara TULUNGAGUNG-JATIM
",TIDAK,M4,D2,M4D2,611
9/10/2018,12:59:30,-10.05,112.02,25,3.6,MLv,"
	Pusat gempa di laut 214 km BaratDaya KAB-BLITAR-JATIM
",TIDAK,M3,D1,M3D1,612
9/11/2018,13:59:30,-4.1,117.3464817,92,0,,,,,,,613
9/12/2018,09:59:59,-8.32,109.72,72,3.2,MLv,"
	Pusat gempa di laut 72 km Tenggara KEBUMEN-JATENG
",TIDAK,M3,D2,M3D2,614
9/13/2018,08:34:47,-10.13,112.46,30,3.7,MLv,"
	Pusat gempa dilaut 211 km BaratDaya KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,615
9/14/2018,09:34:47,-4.0,120.0410117,92,0,,,,,,,616
9/15/2018,00:42:04,-8.58,111.47,107,3.9,MLv,"
	Pusat gempa di laut, 60 km Tenggara PACITAN-JATIM
",TIDAK,M3,D2,M3D2,617
9/16/2018,13:51:35,-8.79,109.9,12,4.2,MLv,"
	Pusat gempa di laut, 110 km BaratDaya BANTUL-DIY
",TIDAK,M4,D1,M4D1,618
9/17/2018,15:24:17,-8.79,111,10,2.7,MLv,"
	Pusat gempa di laut 68 km Barat daya Pacitan Jatim
",TIDAK,M2,D1,M2D1,619
9/18/2018,17:50:17,-10.23,113.34,10,3.5,MLv,"
	Pusat gempa di laut 231 km Tenggara Malang - Jawa Timur
",TIDAK,M3,D1,M3D1,620
9/19/2018,14:56:30,-9.1,111.23,21,3.5,MLv,"
	Pusat gempa di laut 103 km Tenggara PACITAN-JATIM
",TIDAK,M3,D1,M3D1,621
9/20/2018,01:23:04,-8.82,109.02,10,3.6,MLv,"
	Pusat gempa di laut 124 km Barat daya Cilacap Jateng
",TIDAK,M3,D1,M3D1,622
9/21/2018,04:44:46,-9.24,111.74,10,4,M,"
	Pusat gempa berada di laut 128 km Tenggara TRENGGALEK-JATIM
	&nbsp;
",TIDAK,M3,D1,M3D1,623
9/22/2018,04:45:32,-9.71,112.89,10,3.5,MLv,"
	Pusat gempa di laut 164 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,624
9/23/2018,05:45:32,-2.8,113.3776949,92,0,,,,,,,625
9/24/2018,06:45:32,-6.3,115.0497452,92,0,,,,,,,626
9/25/2018,07:45:32,-2.9,110.0216105,92,0,,,,,,,627
9/26/2018,04:07:17,-8.99,108.56,20,3.5,MLv,"
	Pusat gempa di laut 145 km BaratDaya KAB-PANGANDARAN-JABAR
",TIDAK,M3,D1,M3D1,628
9/27/2018,05:07:17,-6.6,111.5799248,92,0,,,,,,,629
9/28/2018,15:02:56,-8.75,112.23,29,3.2,MLv,"
	Pusat gempa di laut 68 km Tenggara KAB-BLITAR-JATIM
",TIDAK,M3,D1,M3D1,630
9/29/2018,16:02:56,-0.1,108.2978691,92,0,,,,,,,631
9/30/2018,10:32:03,-9.33,112.92,25,4,MLv,"
	Pusat gempa di laut 123 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,632
10/1/2018,01:09:54,-8.38,110.04,60,2.7,MLv,"
	Pusat gempa di laut 62 km BaratDaya KULONPROGO-DIY
",TIDAK,M2,D2,M2D2,633
10/2/2018,21:38:44,-10.58,109.38,30,4.6,MLv,"
	Pusat gempa di laut 314 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M4,D1,M4D1,634
10/3/2018,01:29:38,-8.88,110.3,11,3.4,MLv,"
	Pusat gempa di laut 100 km Barat Daya Gunungkidul - DIY
",TIDAK,M3,D1,M3D1,635
10/4/2018,02:29:38,-2.5,115.3791754,102,0,,,,,,,636
10/5/2018,11:06:37,-8.38,108.85,40,3.9,M,"
	Pusat gempa di laut, 78 km BaratDaya CILACAP-JATENG
",TIDAK,M3,D1,M3D1,637
10/6/2018,22:28:02,-9.1,110.25,10,3.6,MLv,"
	Pusat gempa di laut 125 km barat daya Gunungkidul DIY
",TIDAK,M3,D1,M3D1,638
10/7/2018,07:22:13,-9.1,112.17,154,3.9,MLv,"
	Pusat gempa di laut 107 km BaratDaya KAB-BLITAR-JATIM
",TIDAK,M3,D2,M3D2,639
10/8/2018,22:37:31,-7.58,111.85,15,2.6,MLv,"
	Pusat gempa di darat 6 km BaratLaut NGANJUK-JATIM
",TIDAK,M2,D1,M2D1,640
10/9/2018,10:13:28,-6.19,113.07,576,4.6,M,"
	Pusat gempa di laut 95 km TimurLaut BANGKALAN-JATIM
",TIDAK,M4,D3,M4D3,641
10/10/2018,11:13:28,-1.5,107.7224579,10,0,,,,,,,642
10/11/2018,04:02:08,-9.54,112.73,10,3.4,MLv,"
	Pusat gempa dilaut 158 km Tenggara Kab.Malang - JATIM
",TIDAK,M3,D1,M3D1,643
10/12/2018,05:02:08,-5.1,116.9019398,10,0,,,,,,,644
10/13/2018,06:02:08,-6.3,112.8582538,10,0,,,,,,,645
10/14/2018,06:47:39,-9.25,111.98,16,3.4,MLv,"
	Pusat gempa di laut 127 km BaratDaya KAB-BLITAR-JATIM
",TIDAK,M3,D1,M3D1,646
10/15/2018,07:47:39,-0.2,119.1022161,10,0,,,,,,,647
10/16/2018,06:03:25,-9.21,113.07,10,3.9,MLv,"
	Pusat gempa berada di laut 114 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,648
10/17/2018,17:14:47,-8.5,108.63,52,3.3,MLv,"
	Pusat gempa di laut 90 km BaratDaya KAB-PANGANDARAN-JABAR
",TIDAK,M3,D1,M3D1,649
10/18/2018,03:02:31,-9.47,112.79,30,3.8,MLv,"
	Pusat gempa di laut 136 Km Tenggara Kab. Malang-Jatim
",TIDAK,M3,D1,M3D1,650
10/19/2018,12:30:05,-8.86,110.32,20,3.2,,"
	Pusat gempa di Laut 97 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,651
10/20/2018,13:30:05,-0.1,112.3260989,10,0,,,,,,,652
10/21/2018,14:30:05,-0.7,106.058673,10,0,,,,,,,653
10/22/2018,06:08:56,-10.52,109.45,30,3.9,MLv,"
	Pusat gempa di laut 305 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,654
10/23/2018,13:43:24,-7.56,113.51,10,3.3,MLv,"
	Pusat gempa di laut 34 km timur laut Kab. Probolinggo Jatim
",TIDAK,M3,D1,M3D1,655
10/24/2018,14:43:24,-0.6,111.1862874,10,0,,,,,,,656
10/25/2018,11:52:51,-9.08,110.37,10,3.7,M,"
	Pusat gempa di laut,119 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,657
10/26/2018,12:52:51,-6.6,113.7501384,10,0,,,,,,,658
10/27/2018,13:46:33,-8.9,110.29,60,3,MLv,"
	Pusat gempa di laut 103 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M2,D2,M2D2,659
10/28/2018,02:33:22,-9.58,112.92,10,4.1,MLv,"
	Pusat gempa di laut 150 km Tenggara KAB-MALANG-JATIM
",TIDAK,M4,D1,M4D1,660
10/29/2018,03:33:22,-4.1,106.0749356,10,0,,,,,,,661
10/30/2018,22:50:55,-8.32,108.81,28,2.5,M,"
	Pusat gempa di laut 72 km Tenggara KAB-PANGANDARAN-JABAR
",TIDAK,M2,D1,M2D1,662
10/31/2018,23:57:08,-8.96,109.8,10,3.2,MLv,"
	Pusat gempa di laut 132 Km Barat Daya Bantul - DIY
",TIDAK,M3,D1,M3D1,663
11/1/2018,11:03:57,-8.31,109.01,27,2.9,M,"
	Pusat gempa di laut 68 km BaratDaya CILACAP-JATENG
",TIDAK,M2,D1,M2D1,664
11/2/2018,01:16:12,-9.06,110.51,10,3.1,MLv,"
	Pusat gempa dilaut 114 km baratdaya Gunungkidul-DIY
",TIDAK,M3,D1,M3D1,665
11/3/2018,13:24:33,-10.19,109.31,10,4.7,MLv,"
	Pusat gempa di laut 278 km BaratDaya Bantul
",TIDAK,M4,D1,M4D1,666
11/4/2018,14:24:33,-3.6,108.4762991,112,0,,,,,,,667
11/5/2018,00:59:17,-9.46,113.95,10,3,MLv,"
	Pusat gempa di laut 142 km BaratDaya JEMBRANA-BALI
",TIDAK,M2,D1,M2D1,668
11/6/2018,01:49:02,-8.65,111.31,20,3.3,MLv,"
	Pusat gempa di laut 57 km Tenggara PACITAN-JATIM
",TIDAK,M3,D1,M3D1,669
11/7/2018,12:53:41,-9.58,112.89,17,3.1,MLv,"
	Pusat gempa di laut 149 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,670
11/8/2018,13:53:41,-5.7,115.460873,112,0,,,,,,,671
11/9/2018,13:11:21,-9.14,113.19,24,2.9,M,"
	Pusat gempa di laut 112 km BaratDaya Lumajang-JATIM
",TIDAK,M2,D1,M2D1,672
11/10/2018,03:03:31,-8.14,113.87,10,3,MLv,"
	Pusat gempa di darat 19 km BaratDaya BONDOWOSO-JATIM
",TIDAK,M2,D1,M2D1,673
11/11/2018,15:04:20,-8.86,110.33,15,3.2,MLv,"
	Pusat gempa di laut 97 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,674
11/12/2018,06:18:07,-8.57,109.04,10,2.9,MLv,"
	Pusat gempa di laut 96 km Tenggara Cilacap - Jawa Tengah
",TIDAK,M2,D1,M2D1,675
11/13/2018,07:18:07,-4.7,107.9332819,11,0,,,,,,,676
11/14/2018,01:14:42,-8.79,112.28,36,3,MLv,"
	Pusat gempa di laut 73 km Tenggara KAB-BLITAR-JATIM
",TIDAK,M2,D1,M2D1,677
11/15/2018,02:14:42,-7.4,115.83422,11,0,,,,,,,678
11/16/2018,15:43:45,-9.79,111.75,20,3.3,MLv,"
	Pusat gempa berada di laut 189 km Tenggara TRENGGALEK-JATIM
",TIDAK,M3,D1,M3D1,679
11/17/2018,03:35:53,-8.8,111.19,10,3,MLv,"
	Pusat gempa di laut 69 km Tenggara Pacitan-Jatim
",TIDAK,M2,D1,M2D1,680
11/18/2018,04:45:49,-8.62,112.58,102,2.9,MLv,"
	Pusat gempa di laut, 44 km BaratDaya KAB-MALANG-JATIM
",TIDAK,M2,D2,M2D2,681
11/19/2018,19:08:33,-8.82,112.11,27,2.6,MLv,"
	Pusat gempa di laut, 77 km BaratDaya KAB-BLITAR-JATIM
",TIDAK,M2,D1,M2D1,682
11/20/2018,23:24:59,-8.37,108.73,32,2.8,MLv,"
	Pusat gempa di laut 76 km Tenggara KAB-PANGANDARAN-JABAR
",TIDAK,M2,D1,M2D1,683
11/21/2018,01:49:20,-8.92,112.42,25,3.2,MLv,"
	Pusat gempa di laut 82 km BaratDaya KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,684
11/22/2018,00:54:49,-7.82,111.53,11,2.5,MLv,"
	Pusat gempa di darat 8 km TimurLaut Ponorogo Jatim
",TIDAK,M2,D1,M2D1,685
11/23/2018,00:37:03,-10.9,108.92,30,3.9,MLv,"
	Pusat gempa di laut, 355 km BaratDaya CILACAP-JATENG
",TIDAK,M3,D1,M3D1,686
11/24/2018,20:36:16,-9.39,113.95,14,2.9,MLv,"
	Pusat gempa di laut, 111 km BaratDaya BANYUWANGI JATIM
",TIDAK,M2,D1,M2D1,687
11/25/2018,16:32:15,-8.96,109.94,23,4.1,MLv,"
	Pusat gempa di laut 125 km BaratDaya BANTUL-DIY
",TIDAK,M4,D1,M4D1,688
11/26/2018,17:32:15,-3.6,106.7869167,11,0,,,,,,,689
11/27/2018,01:47:35,-8.39,109.31,28,2.6,MLv,"
	pusat gempa di laut 83 km Tenggara CILACAP-JATENG
",TIDAK,M2,D1,M2D1,690
11/28/2018,00:50:59,-8.44,110.71,10,2.8,MLv,"
	Pusat gempa di laut, 46 km Tenggara GUNUNGKIDUL-DIY
",TIDAK,M2,D1,M2D1,691
11/29/2018,14:00:19,-8.59,110.77,9,3.3,MLv,"
	Pusat gempa di laut, 58 km BaratDaya PACITAN-JATIM
",TIDAK,M3,D1,M3D1,692
11/30/2018,06:50:36,-8.81,110.23,28,3.2,MLv,"
	Pusat gempa di laut 96 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,693
12/1/2018,07:50:36,-0.9,117.9305726,122,0,,,,,,,694
12/2/2018,07:47:37,-8.6,109.79,16,3.7,MLv,"
	Pusat gempa di laut 95 km BaratDaya KULONPROGO-DIY
",TIDAK,M3,D1,M3D1,695
12/3/2018,17:43:39,-8.75,111.25,39,3.1,MLv,"
	Pusat gempa di laut 65 km Tenggara Pacitan Jatim
",TIDAK,M3,D1,M3D1,696
12/4/2018,01:27:55,-9.26,111.99,173,3.8,MLv,"
	Pusat gempa di laut 128 km Barat Daya Blitar Jawa Timur
",TIDAK,M3,D2,M3D2,697
12/5/2018,17:05:36,-8.81,112.12,30,3.1,M,"
	Pusat gempa dilaut 76 km Barat Daya Bitar Jawa Timur
",TIDAK,M3,D1,M3D1,698
12/6/2018,01:55:31,-9.5,110.07,50,3.3,MLv,"
	Pusat gempa di laut 174 km BaratDaya GUNUNGKIDUL-DIY
",TIDAK,M3,D1,M3D1,699
12/7/2018,01:22:14,-9.41,113.57,10,3.7,MLv,"
	Pusat gempa di laut 138 km BaratDaya JEMBER-JATIM
",TIDAK,M3,D1,M3D1,700
12/8/2018,10:36:51,-8.96,110.59,10,3,MLv,"
	Pusat gempa di Laut&nbsp; 103 km BaratDaya Gunung Kidul - D.I Yogyakarta
",TIDAK,M2,D1,M2D1,701
12/9/2018,09:49:19,-9.55,112.84,10,3.3,MLv,"
	Pusat gempa di laut, 145 km Tenggara KAB-MALANG-JATIM
",TIDAK,M3,D1,M3D1,702
12/10/2018,07:44:33,-9.14,113.29,26,3.2,MLv,"
	Pusat gempa di laut 116 km Barat Daya JEMBER-JATIM)
",TIDAK,M3,D1,M3D1,703
12/11/2018,10:11:42,-8.24,108.93,49,2.7,MLv,"
	Pusat gempa di laut 61 km BaratDaya CILACAP-JATENG
",TIDAK,M2,D1,M2D1,704
12/12/2018,00:07:09,-9.27,113.44,12,2.8,MLv,"
	Pusat gempa dilaut 125 km BaratDaya Jember - Jawa Timur
",TIDAK,M2,D1,M2D1,705
12/13/2018,01:07:09,-4.5,118.8980771,12,0,,,,,,,706
12/14/2018,04:05:18,-9,112.69,30,3.9,MLv,"
	Pusat gempa di laut 84 km barat daya kab Malang Jatim
",TIDAK,M3,D1,M3D1,707
12/15/2018,02:40:22,-8.46,108.88,11,2.7,MLv,"
	Pusat gempa di laut 86 km BaratDaya CILACAP-JATENG
",TIDAK,M2,D1,M2D1,708
12/16/2018,03:40:22,-5.9,108.6132332,12,0,,,,,,,709
